"metro";"pop_2000";"pop_2015";"area";"municipalities";"year_t0";"year_t1";"time";"number_ware_t0";"average_distance_ware_gravity_t0";"number_ware_t1";"average_distance_ware_gravity_t1";"log_sprawl";"central.x";"suburban.x";"diff.x";"sprawl_year";"quad";"class_sprawl";"class_diff";"central.y";"suburban.y";"diff.y"
"belo horizonte";"780000";"5000000";"9460";"34";"1995";"2015";"20";"44";"17,8";"156";"19,0";"1,199999999999999";"32,0751938920786";"28,8818291318833";"1,11056656922986";"0,05999999999999996";"quad1";"No significant yearly sprawl";"Higher prices in central areas";NA;NA;NA
"sao paulo";"15080000";"21600000";"7944";"39";"1992";"2017";"25";"228";"17,5";"2066";"17,6";"0,100000000000001";"46,6456679169777";"35,3833408079622";"1,31829462260616";"0,00400000000000006";"quad1";"No significant yearly sprawl";"Higher prices in central areas";NA;NA;NA
